N_FT,E_meV,F_meV,N_TS,E_meV,F_meV
0,9.6,315.4,50,20.5,354.3
50,9.2,242.2,100,14.3,192.9
100,6.3,174.6,300,6.4,126.2
300,5.2,121.4,,,
