N_FT,E_meV,F_meV,N_TS,E_meV,F_meV
0,22.4,421.8,100,38.9,398.3
50,19.6,302,200,23.5,307
100,17.7,255.5,592,12.2,235.3
200,14.4,208.4,,,
592,10.7,172,,,
