r(A),g3D_Au-Au
7.27,1.054407669
7.29,1.009146945
7.31,0.952357597
7.33,0.919673784
7.35,0.872756713
7.37,0.887815276
7.39,0.90027775
7.41,0.887847811
7.43,0.918016218
7.45,0.95827824
7.47,1.018810504
7.49,1.08357035
7.51,1.164241993
7.53,1.248378845
7.55,1.358782622
7.57,1.471510961
7.59,1.659238969
7.61,1.783886949
7.63,2.065639125
7.65,2.281286332
7.67,2.569010678
7.69,2.755926548
7.71,3.032838823
7.73,3.07644706
7.75,3.284139863
7.77,3.460081426
7.79,3.430506053
7.81,3.304646722
7.83,3.228178256
7.85,3.098669551
7.87,2.807915555
7.89,2.615905117
7.91,2.284005522
7.93,2.141177273
7.95,1.850300848
7.97,1.664276597
7.99,1.502429104
8.01,1.358554109
8.03,1.253117475
8.05,1.141141787
8.07,1.073164094
8.09,0.995927993
8.11,0.934095347
8.13,0.881342492
8.15,0.84741054
8.17,0.810298332
8.19,0.81796581
8.21,0.842521264
8.23,0.839898802
8.25,0.776904523
8.27,0.792270706
8.29,0.815065468
8.31,0.796679399
8.33,0.780540735
8.35,0.794066407
8.37,0.746122705
8.39,0.707382463
8.41,0.735342762
8.43,0.722370605
8.45,0.708018227
8.47,0.680668353
8.49,0.681914066
8.51,0.687955473
8.53,0.708324994
8.55,0.734778672
8.57,0.773582314
8.59,0.817237455
8.61,0.885724069
8.63,0.957270161
8.65,1.06067125
8.67,1.155186951
8.69,1.317752462
8.71,1.462037468
8.73,1.612242081
8.75,1.72648073
8.77,1.842457578
8.79,1.920142606
8.81,2.052603236
8.83,2.017442383
8.85,2.007543516
8.87,1.969824702
8.89,1.830527423
8.91,1.761709884
8.93,1.643782359
8.95,1.485445144
8.97,1.417274383
8.99,1.316607416
9.01,1.191869087
9.03,1.134100004
9.05,1.094393488
9.07,1.060474428
9.09,1.046963863
9.11,1.044255718
9.13,1.065800989
9.15,1.06672547
9.17,1.117513059
9.19,1.149898576
9.21,1.17831751
9.23,1.262516807
9.25,1.282516593
9.27,1.345788391
9.29,1.348514403
9.31,1.344914963
9.33,1.297567982
9.35,1.27475414
9.37,1.192524497
9.39,1.172978139
9.41,1.103274285
9.43,1.049127707
9.45,0.981674644
9.47,0.947344948
9.49,0.914665332
9.51,0.870883994
9.53,0.874236319
9.55,0.865631076
9.57,0.901048226
9.59,0.898348963
9.61,0.953530825
9.63,0.998250255
9.65,1.043306143
9.67,1.140036867
9.69,1.160968837
9.71,1.216867784
9.73,1.230966333
9.75,1.239872135
9.77,1.236414333
9.79,1.245818181
9.81,1.16801888
9.83,1.119340276
9.85,1.125004998
9.87,1.044179653
9.89,0.979486925
9.91,0.927215565
9.93,0.878057434
9.95,0.869936369
9.97,0.860633175
9.99,0.874981457
